时间,粉丝数,上涨数量(距上次),上涨率(距上次),上涨数量(距第一次),上涨率(距第一次)
Sun Jan 26 2020 22:34:59 GMT+0800 (中国标准时间),2869845,598,0.00020837362296570024,2360375,0.8224747329559611
Sun Jan 26 2020 22:24:58 GMT+0800 (中国标准时间),2869247,547,0.0001906423532027741,2359777,0.8224377336632225
Sun Jan 26 2020 22:14:58 GMT+0800 (中国标准时间),2868700,550,0.00019172447450064488,2359230,0.8224038763202844
Sun Jan 26 2020 22:04:57 GMT+0800 (中国标准时间),2868150,556,0.00019385318062165507,2358680,0.8223698202674198
Sun Jan 26 2020 21:54:57 GMT+0800 (中国标准时间),2867594,513,0.00017889561771994221,2358124,0.8223353794156355
Sun Jan 26 2020 21:44:55 GMT+0800 (中国标准时间),2867081,512,0.00017857884029087425,2357611,0.8223035903066569
Sun Jan 26 2020 21:34:55 GMT+0800 (中国标准时间),2866569,439,0.0001531447524898232,2357099,0.8222718518200678
Sun Jan 26 2020 21:24:54 GMT+0800 (中国标准时间),2866130,476,0.0001660776029000778,2356660,0.8222446295178516
Sun Jan 26 2020 21:14:54 GMT+0800 (中国标准时间),2865654,441,0.00015389157239499256,2356184,0.8222151034283971
Sun Jan 26 2020 21:04:53 GMT+0800 (中国标准时间),2865213,384,0.00013402144971420973,2355743,0.8221877396200562
Sun Jan 26 2020 20:54:53 GMT+0800 (中国标准时间),2864829,406,0.00014171875529045538,2355359,0.8221639057688958
Sun Jan 26 2020 20:44:53 GMT+0800 (中国标准时间),2864423,404,0.00014104062144452826,2354953,0.8221386994867728
Sun Jan 26 2020 20:34:52 GMT+0800 (中国标准时间),2864019,370,0.00012918908708357032,2354549,0.8221136102798201
Sun Jan 26 2020 20:24:52 GMT+0800 (中国标准时间),2863649,365,0.0001274597550188588,2354179,0.8220906263302521
Sun Jan 26 2020 20:14:52 GMT+0800 (中国标准时间),2863284,408,0.00014249372398965663,2353814,0.8220679471543864
Sun Jan 26 2020 20:04:50 GMT+0800 (中国标准时间),2862876,454,0.00015858178978062618,2353406,0.8220425893402299
Sun Jan 26 2020 19:54:50 GMT+0800 (中国标准时间),2862422,444,0.0001551133969764067,2352952,0.8220143640595272
Sun Jan 26 2020 19:44:49 GMT+0800 (中国标准时间),2861978,504,0.00017610198261482093,2352508,0.8219867518198952
Sun Jan 26 2020 19:34:49 GMT+0800 (中国标准时间),2861474,467,0.00016320260117687598,2352004,0.8219553978124561
Sun Jan 26 2020 19:24:49 GMT+0800 (中国标准时间),2861007,540,0.00018874473218695375,2351537,0.8219263357272457
Sun Jan 26 2020 19:14:48 GMT+0800 (中国标准时间),2860467,505,0.00017654459918607697,2350997,0.821892718916177
Sun Jan 26 2020 19:04:48 GMT+0800 (中国标准时间),2859962,442,0.00015454750797388216,2350492,0.8218612694853987
Sun Jan 26 2020 18:54:47 GMT+0800 (中国标准时间),2859520,459,0.0001605164503133393,2350050,0.8218337343330349
Sun Jan 26 2020 18:44:47 GMT+0800 (中国标准时间),2859061,454,0.00015879339405490124,2349591,0.8218051311252191
Sun Jan 26 2020 18:34:46 GMT+0800 (中国标准时间),2858607,424,0.00014832399137062213,2349137,0.8217768304632291
Sun Jan 26 2020 18:24:46 GMT+0800 (中国标准时间),2858183,453,0.00015849230087786541,2348713,0.8217503917698762
Sun Jan 26 2020 18:14:45 GMT+0800 (中国标准时间),2857730,434,0.00015186879096345702,2348260,0.8217221361010313
